BHID,LANDUSE,UserInput_CN2,Area.ha.Input.std,SWATCalc_CN2,LULC,FIMP,FPervious,BHCalcCN2,QA_Does_SWATCalc_Match_BHCalc
1794,WETN,69,0.47,69,WETN,0,1,69,TRUE
1795,WETN,69,0.09,69,WETN,0,1,69,TRUE
1796,WETN,69,0.09,69,WETN,0,1,69,TRUE
1797,WETN,79,0.09,79,WETN,0,1,79,TRUE
1798,WETN,79,0.28,79,WETN,0,1,79,TRUE
1799,WETN,79,0.57,79,WETN,0,1,79,TRUE
1800,WETN,79,0.85,79,WETN,0,1,79,TRUE
1801,WETN,69,0.09,69,WETN,0,1,69,TRUE
1802,WETN,69,0.57,69,WETN,0,1,69,TRUE
1803,WETN,69,0.47,69,WETN,0,1,69,TRUE
1804,WETN,69,0.66,69,WETN,0,1,69,TRUE
1805,WETN,69,0.57,69,WETN,0,1,69,TRUE
1806,WETN,69,0.09,69,WETN,0,1,69,TRUE
1807,WETN,69,9.56,69,WETN,0,1,69,TRUE
1808,WETN,69,0.09,69,WETN,0,1,69,TRUE
1809,WETN,69,0.09,69,WETN,0,1,69,TRUE
1810,WETN,84,0.85,84,WETN,0,1,84,TRUE
1811,WATR,92,0.85,92,WATR,0,1,92,TRUE
1812,WATR,92,0.28,92,WATR,0,1,92,TRUE
1813,WETF,66,0.09,66,WETF,0,1,66,TRUE
1814,WETF,66,0.19,66,WETF,0,1,66,TRUE
1815,WETF,66,0.19,66,WETF,0,1,66,TRUE
1816,WETF,66,0.09,66,WETF,0,1,66,TRUE
1817,WETF,66,0.19,66,WETF,0,1,66,TRUE
1818,URHD,61,0.09,93.89,BERM,0.889,0.111,93.89,TRUE
1819,URHD,61,0.09,93.89,BERM,0.889,0.111,93.89,TRUE
1820,URHD,61,0.19,93.89,BERM,0.889,0.111,93.89,TRUE
1821,URHD,61,0.09,93.89,BERM,0.889,0.111,93.89,TRUE
1822,URHD,61,0.09,93.89,BERM,0.889,0.111,93.89,TRUE
1823,URHD,61,0.09,93.89,BERM,0.889,0.111,93.89,TRUE
1824,URHD,61,0.19,93.89,BERM,0.889,0.111,93.89,TRUE
1825,URHD,61,0.09,93.89,BERM,0.889,0.111,93.89,TRUE
1826,URML,80,0.19,84,BERM,0.275,0.725,84,TRUE
1827,URML,80,1.14,84,BERM,0.275,0.725,84,TRUE
1828,URML,61,0.09,69.23,BERM,0.275,0.725,69.23,TRUE
1829,URML,61,0.09,69.23,BERM,0.275,0.725,69.23,TRUE
1830,URML,61,0.28,69.23,BERM,0.275,0.725,69.23,TRUE
1831,URML,61,0.09,69.23,BERM,0.275,0.725,69.23,TRUE
1832,URML,61,0.66,69.23,BERM,0.275,0.725,69.23,TRUE
1833,URML,61,3.03,69.23,BERM,0.275,0.725,69.23,TRUE
1834,URML,61,5.96,69.23,BERM,0.275,0.725,69.23,TRUE
1835,URML,61,0.76,69.23,BERM,0.275,0.725,69.23,TRUE
1836,URML,61,0.38,69.23,BERM,0.275,0.725,69.23,TRUE
1837,URML,61,0.28,69.23,BERM,0.275,0.725,69.23,TRUE
1838,URML,61,0.28,69.23,BERM,0.275,0.725,69.23,TRUE
1839,URML,61,1.04,69.23,BERM,0.275,0.725,69.23,TRUE
1840,URML,61,0.28,69.23,BERM,0.275,0.725,69.23,TRUE
1841,URML,61,0.28,69.23,BERM,0.275,0.725,69.23,TRUE
1842,URML,61,0.19,69.23,BERM,0.275,0.725,69.23,TRUE
1843,URML,61,0.38,69.23,BERM,0.275,0.725,69.23,TRUE
1844,URML,61,0.47,69.23,BERM,0.275,0.725,69.23,TRUE
1845,URML,61,0.28,69.23,BERM,0.275,0.725,69.23,TRUE
1846,URML,61,0.47,69.23,BERM,0.275,0.725,69.23,TRUE
1847,URML,61,3.31,69.23,BERM,0.275,0.725,69.23,TRUE
1848,URML,61,3.03,69.23,BERM,0.275,0.725,69.23,TRUE
1849,URML,74,0.09,79.34,BERM,0.275,0.725,79.34,TRUE
1850,URML,61,1.04,69.23,BERM,0.275,0.725,69.23,TRUE
1851,URML,61,0.85,69.23,BERM,0.275,0.725,69.23,TRUE
1852,URML,61,1.8,69.23,BERM,0.275,0.725,69.23,TRUE
1853,URML,61,0.19,69.23,BERM,0.275,0.725,69.23,TRUE
1854,URML,61,0.28,69.23,BERM,0.275,0.725,69.23,TRUE
