,Sub,HRU1,Area.ha.Input.std,Slope,SlpLgth.m.,Ovrlnd_N,CondII_CN,TimeConc.hr.,ESCO,EPCO,sub,HRU2,input.std.area.ha,LULC,Sub.1,HRU3,Area_ha,SoilName,Hydgrp,MaxRtDpth_mm,Albedo,USLE_K,USLE_P,USLE_LS,ProfileAWC_mm,IniSoilH2O_mm,CheckPart1VsPart2,CheckPart1VsPart3,AreaTimesSWATCN2
15420,38,15420,0.19,0.132,24.39,0.1,91.45,0.175,0.91,0.57,38,15420,0.19,BERM,38,15420,0.19,Windsor,A,1520,0.23,0.2,1,1.89,334.4,209.929,TRUE,TRUE,17.3755
15421,38,15421,0.65,0.061,60.98,0.1,91.45,0.382,0.91,0.57,38,15421,0.65,BERM,38,15421,0.65,Windsor,A,1520,0.23,0.2,1,1,334.4,209.929,TRUE,TRUE,59.4425
15422,38,15422,0.46,0.138,24.39,0.1,91.45,0.173,0.91,0.57,38,15422,0.46,BERM,38,15422,0.46,Windsor,A,1520,0.23,0.2,1,2.02,334.4,209.929,TRUE,TRUE,42.067
15423,38,15423,3.53,0.017,121.95,0.1,91.45,0.851,0.91,0.57,38,15423,3.53,BERM,38,15423,3.53,Windsor,A,1520,0.23,0.2,1,0.26,334.4,209.929,TRUE,TRUE,322.8185
15424,38,15424,0.19,0.036,91.46,0.1,95.34,0.569,0.91,0.57,38,15424,0.19,BERM,38,15424,0.19,Woodbridge,C,1520,0.23,0.32,1,0.58,258.4,162.218,TRUE,TRUE,18.1146
15425,38,15425,0.56,0.061,60.98,0.1,95.34,0.382,0.91,0.57,38,15425,0.56,BERM,38,15425,0.56,Woodbridge,C,1520,0.23,0.32,1,1,258.4,162.218,TRUE,TRUE,53.3904
15426,38,15426,0.19,0.035,91.46,0.1,95.34,0.574,0.91,0.57,38,15426,0.19,BERM,38,15426,0.19,Woodbridge,C,1520,0.23,0.32,1,0.56,258.4,162.218,TRUE,TRUE,18.1146
15427,38,15427,0.37,0.025,91.46,0.1,95.34,0.635,0.91,0.57,38,15427,0.37,BERM,38,15427,0.37,Woodbridge,C,1520,0.23,0.32,1,0.36,258.4,162.218,TRUE,TRUE,35.2758
15428,38,15428,0.09,0.039,91.46,0.1,96,0.555,0.91,0.57,38,15428,0.09,BERM,38,15428,0.09,Swansea,D,1650,0.16,0,1,0.65,264,165.733,TRUE,TRUE,8.64
15429,38,15429,0.09,0.019,121.95,0.1,96,0.819,0.91,0.57,38,15429,0.09,BERM,38,15429,0.09,Freetown,D,1650,0.2,0,1,0.29,264,165.734,TRUE,TRUE,8.64
15430,38,15430,0.19,0.036,91.46,0.1,96,0.569,0.91,0.57,38,15430,0.19,BERM,38,15430,0.19,Whitman,D,1650,0.3,0.49,1,0.58,264,165.733,TRUE,TRUE,18.24
15431,38,15431,1.21,0.015,121.95,0.1,93.89,0.881,0.91,0.57,38,15431,1.21,BERM,38,15431,1.21,"Udorthents,_loam",B,1000,0.28,0,1,0.23,100,62.778,TRUE,TRUE,113.6069
15432,38,15432,0.56,0.074,60.98,0.1,69.23,0.36,0.91,0.57,38,15432,0.56,BERM,38,15432,0.56,Charlton,B,1650,0.23,0.32,1,1.33,330,207.167,TRUE,TRUE,38.7688
15433,38,15433,1.02,0.024,91.46,0.1,69.23,0.644,0.91,0.57,38,15433,1.02,BERM,38,15433,1.02,Charlton,B,1650,0.23,0.32,1,0.35,330,207.167,TRUE,TRUE,70.6146
15434,38,15434,1.02,0.07,60.98,0.1,69.23,0.367,0.91,0.57,38,15434,1.02,BERM,38,15434,1.02,Charlton,B,1650,0.23,0.32,1,1.23,330,207.167,TRUE,TRUE,70.6146
15435,38,15435,1.02,0.03,91.46,0.1,69.23,0.602,0.91,0.57,38,15435,1.02,BERM,38,15435,1.02,Charlton,B,1650,0.23,0.32,1,0.46,330,207.167,TRUE,TRUE,70.6146
15436,38,15436,1.49,0.146,24.39,0.1,69.23,0.171,0.91,0.57,38,15436,1.49,BERM,38,15436,1.49,Charlton,B,1650,0.23,0.32,1,2.21,330,207.167,TRUE,TRUE,103.1527
15437,38,15437,1.58,0.081,60.98,0.1,69.23,0.352,0.91,0.57,38,15437,1.58,BERM,38,15437,1.58,Charlton,B,1650,0.23,0.32,1,1.53,330,207.167,TRUE,TRUE,109.3834
15438,38,15438,0.09,0.039,91.46,0.1,69.23,0.555,0.91,0.57,38,15438,0.09,BERM,38,15438,0.09,Charlton,B,1650,0.23,0.32,1,0.65,330,207.167,TRUE,TRUE,6.2307
15439,38,15439,0.46,0.179,18.29,0.1,69.23,0.135,0.91,0.57,38,15439,0.46,BERM,38,15439,0.46,Hollis-Rock_outc,B,1000,0.28,0,1,2.59,100,62.778,TRUE,TRUE,31.8458
15440,38,15440,0.09,0.068,60.98,0.1,69.23,0.369,0.91,0.57,38,15440,0.09,BERM,38,15440,0.09,Hollis-Rock_outc,B,1000,0.28,0,1,1.18,100,62.778,TRUE,TRUE,6.2307
15441,38,15441,0.46,0.06,60.98,0.1,79.34,0.383,0.91,0.57,38,15441,0.46,BERM,38,15441,0.46,Montauk,C,1650,0.3,0.28,1,0.98,280.5,176.092,TRUE,TRUE,36.4964
15442,38,15442,0.09,0.035,91.46,0.1,79.34,0.574,0.91,0.57,38,15442,0.09,BERM,38,15442,0.09,Montauk,C,1650,0.3,0.28,1,0.56,280.5,176.092,TRUE,TRUE,7.1406
15443,38,15443,8.92,0.031,91.46,0.1,79.34,0.606,0.91,0.57,38,15443,8.92,BERM,38,15443,8.92,Montauk,C,1650,0.3,0.28,1,0.48,280.5,176.092,TRUE,TRUE,707.7128
15444,38,15444,4.74,0.061,60.98,0.1,79.34,0.387,0.91,0.57,38,15444,4.74,BERM,38,15444,4.74,Montauk,C,1650,0.3,0.28,1,1,280.5,176.092,TRUE,TRUE,376.0716
15445,38,15445,0.28,0.026,91.46,0.1,79.34,0.628,0.91,0.57,38,15445,0.28,BERM,38,15445,0.28,Montauk,C,1650,0.3,0.28,1,0.38,280.5,176.092,TRUE,TRUE,22.2152
15446,38,15446,1.3,0.067,60.98,0.1,79.34,0.372,0.91,0.57,38,15446,1.3,BERM,38,15446,1.3,Montauk,C,1650,0.3,0.28,1,1.15,280.5,176.092,TRUE,TRUE,103.142
15447,38,15447,0.19,0.151,24.39,0.1,79.34,0.168,0.91,0.57,38,15447,0.19,BERM,38,15447,0.19,Montauk,C,1650,0.3,0.28,1,2.34,280.5,176.092,TRUE,TRUE,15.0746
15448,38,15448,0.28,0.029,91.46,0.1,79.34,0.607,0.91,0.57,38,15448,0.28,BERM,38,15448,0.28,Paxton,C,1650,0.3,0.32,1,0.44,280.5,176.092,TRUE,TRUE,22.2152
15449,38,15449,0.37,0.124,24.39,0.1,79.34,0.178,0.91,0.57,38,15449,0.37,BERM,38,15449,0.37,Paxton,C,1650,0.3,0.32,1,1.71,280.5,176.092,TRUE,TRUE,29.3558
15450,38,15450,2.69,0.033,91.46,0.1,79.34,0.588,0.91,0.57,38,15450,2.69,BERM,38,15450,2.69,Paxton,C,1650,0.3,0.32,1,0.52,280.5,176.092,TRUE,TRUE,213.4246
15451,38,15451,9.94,0.075,60.98,0.1,79.34,0.37,0.91,0.57,38,15451,9.94,BERM,38,15451,9.94,Paxton,C,1650,0.3,0.32,1,1.36,280.5,176.092,TRUE,TRUE,788.6396
